timeOnIce,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,timeOnIcePerGame,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,fullName
21594:31,39,18,161,159,10402,1610,281,8511,322,9254,1822,0.912616,2.76737,394,355,11398,996,54:48,88.36443468715697,87.26708074534162,91.97103955046467,Jonathan Bernier
2225:17,8,4,10,18,1047,111,22,914,26,1004,131,0.901809,3.07376,40,36,1161,114,55:37,84.7328244274809,84.61538461538461,91.03585657370517,Scott Wedgewood
6038:30,12,6,46,41,2917,348,85,2484,94,2702,406,0.910993,2.83183,105,99,3202,285,57:30,85.71428571428571,90.42553191489363,91.9319022945966,Mackenzie Blackwood
30305:20,60,34,251,194,14532,2140,338,12054,360,13068,2431,0.916325,2.62726,529,505,15859,1327,57:17,88.02961744138214,93.88888888888889,92.24058769513314,Semyon Varlamov
1271:47,3,3,13,6,517,52,16,449,16,489,58,0.918295,2.17018,22,21,563,46,57:48,89.65517241379311,100.0,91.8200408997955,Ilya Sorokin
124:20,0,0,0,1,52,7,2,43,3,45,7,0.945455,1.44772,3,1,55,3,41:26,100.0,66.66666666666666,95.55555555555556,Ken Appleby
9093:06,21,8,68,58,4220,588,122,3510,135,3852,677,0.904803,2.92969,166,144,4664,444,54:46,86.85376661742984,90.37037037037037,91.1214953271028,Keith Kinkaid
2590:36,3,2,26,16,1299,174,35,1090,36,1174,201,0.920624,2.59399,47,43,1411,112,55:07,86.56716417910447,97.22222222222221,92.84497444633732,Igor Shesterkin
5254:36,9,6,43,38,2658,405,62,2191,68,2396,452,0.911523,2.94599,96,89,2916,258,54:44,89.60176991150442,91.17647058823529,91.4440734557596,Alexandar Georgiev
20697:27,29,25,186,132,8885,1320,285,7280,301,7988,1494,0.908208,2.60322,361,355,9783,898,57:20,88.35341365461848,94.6843853820598,91.13670505758637,Martin Jones
5529:04,9,2,49,37,2532,277,96,2159,101,2368,328,0.905256,2.87571,101,95,2797,265,54:44,84.45121951219512,95.04950495049505,91.17398648648648,Carter Hart
7606:54,10,2,58,59,3647,518,110,3019,121,3303,610,0.904065,3.05249,140,124,4034,387,54:20,84.91803278688525,90.9090909090909,91.40175597941266,Louis Domingue
5654:31,7,7,59,29,2608,328,81,2199,85,2393,381,0.912207,2.66336,101,95,2859,251,55:59,86.08923884514435,95.29411764705881,91.89302131216047,Tristan Jarry
3776:01,6,6,32,22,1794,218,62,1514,73,1631,255,0.915773,2.62181,70,58,1959,165,53:56,85.49019607843137,84.93150684931507,92.82648681790313,Casey DeSmith
6675:31,13,3,50,47,3218,366,74,2778,84,3013,430,0.91239,2.77731,117,112,3527,309,57:03,85.11627906976744,88.09523809523809,92.2004646531696,Linus Ullmark
238:22,0,1,2,2,126,11,1,114,1,123,11,0.933333,2.26542,4,4,135,9,59:35,100.0,100.0,92.6829268292683,Troy Grosenick
601:43,0,2,7,3,256,27,8,221,9,232,30,0.944649,1.49572,10,10,271,15,60:10,90.0,88.88888888888889,95.25862068965517,Jeremy Swayman
36870:13,67,42,2,291,252,18251,2932,517,14720,571,16040,3383,0.912824,2.83643,652,614,19994,1743,56:32,86.6686373041679,90.54290718038528,91.77057356608479,Craig Anderson
2421:23,7,1,12,20,1161,168,33,960,34,1058,192,0.904206,3.04784,47,37,1284,123,51:31,87.5,97.05882352941177,90.73724007561437,Dustin Tokarski
6109:19,12,5,49,39,2773,346,86,2341,94,2561,406,0.905913,2.82847,114,94,3061,288,53:35,85.22167487684729,91.48936170212765,91.4096056228036,Aaron Dell
216:42,0,0,1,3,135,19,0,116,0,128,21,0.90604,3.87633,4,4,149,14,54:10,90.47619047619048,90.625,Ukko-Pekka Luukkonen
41707:23,79,49,360,257,19174,2965,580,15629,623,16894,3394,0.916934,2.49884,707,695,20911,1737,58:59,87.36004714201532,93.09791332263242,92.51213448561619,Carey Price
17809:11,31,21,159,106,7750,1093,171,6486,192,7062,1244,0.911979,2.52005,318,298,8498,748,56:00,87.86173633440515,89.0625,91.84367034834324,Jake Allen
2798:56,5,0,15,29,1386,190,45,1151,46,1274,216,0.902344,3.21551,56,50,1536,150,49:58,87.96296296296296,97.82608695652173,90.34536891679748,Anton Forsberg
12769:16,20,13,127,66,6031,807,192,5032,214,5475,926,0.911716,2.74409,226,218,6615,584,56:30,87.14902807775377,89.7196261682243,91.90867579908677,Matt Murray
7179:29,15,6,55,54,3201,527,82,2592,91,2837,605,0.906029,2.77457,135,115,3533,332,53:10,87.10743801652893,90.10989010989012,91.36411702502643,Michael Hutchinson
4790:46,8,4,40,30,2191,275,72,1844,79,2001,308,0.917504,2.46725,86,78,2388,197,55:42,89.28571428571429,91.13924050632912,92.15392303848076,Jack Campbell
15446:26,31,24,128,96,6812,958,157,5697,181,6186,1113,0.910695,2.59477,275,250,7480,668,56:10,86.07367475292004,86.74033149171271,92.09505334626577,Petr Mrazek
22597:58,48,19,226,100,10774,1404,282,9088,312,9854,1605,0.9153,2.64714,393,381,11771,997,57:30,87.4766355140187,90.38461538461539,92.2265070022326,Frederik Andersen
10744:29,20,13,93,65,5025,722,135,4168,148,4507,810,0.919488,2.45707,198,179,5465,440,54:15,89.13580246913581,91.21621621621621,92.47836698469048,Antti Raanta
1010:05,2,0,6,7,451,50,15,386,16,426,63,0.893069,3.20765,22,15,505,54,45:54,79.36507936507937,93.75,90.61032863849765,Alex Lyon
30994:24,45,34,297,180,14482,2048,381,12053,418,13038,2347,0.916408,2.55723,538,526,15803,1321,57:36,87.26033233915636,91.14832535885168,92.44516030065961,Sergei Bobrovsky
773:52,3,0,4,5,391,55,3,333,4,368,62,0.900922,3.33391,16,12,434,43,48:22,88.70967741935483,75.0,90.48913043478261,Christopher Gibson
1292:09,3,0,9,8,569,60,21,488,21,544,73,0.89185,3.20396,25,19,638,69,51:41,82.1917808219178,100.0,89.70588235294117,Sam Montembeault
206:54,0,0,4,0,91,7,3,81,3,87,9,0.919192,2.31996,4,3,99,8,51:43,77.77777777777779,100.0,93.10344827586206,Spencer Knight
