timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,fullName
18163:33,335,110,823,1849,757,975,49,189,2563:27,14108:21,823,33.3,5.9,17,4,1,4,1491:45,1022,13,445,21201,23:59,18:38,01:58,03:23,P.K. Subban
9752:06,201,176,224,1351,625,639,47,92,1403:17,8335:59,224,38.5,13.0,28,2,0,0,12:50,188,23,377,13215,15:36,13:20,00:01,02:14,Tomas Tatar
305:19,0,0,2,18,19,24,0,0,02:31,281:18,2,0.0,0,0,0,0,21:30,13,2,0,379,16:04,14:48,01:07,00:07,Robbie Russo
12416:16,235,106,390,1676,607,731,28,104,1454:02,10464:15,390,25.0,6.3,22,6,1,3,497:59,637,72,341,15558,20:27,17:14,00:49,02:23,Dougie Hamilton
3732:39,34,27,32,353,275,148,0,1,82:32,3155:31,32,49.8,7.6,1,0,3,6,494:36,183,-10,61,5451,13:34,11:28,01:47,00:18,Brian Flynn
10202:55,144,40,293,784,486,492,6,55,977:09,8690:19,293,0.0,5.1,5,0,0,2,535:27,444,-115,184,12630,20:59,17:52,01:06,02:00,Damon Severson
2477:15,43,35,58,292,175,147,8,13,280:34,2160:40,58,36.4,12.0,4,0,0,0,36:01,79,11,78,3412,14:09,12:20,00:12,01:36,Andreas Johnsson
4317:22,56,65,347,704,323,381,9,13,393:01,3915:01,347,35.7,9.2,6,0,0,0,09:20,126,-62,121,5747,13:21,12:07,00:01,01:13,Miles Wood
2624:46,32,14,102,261,149,221,0,0,06:55,2214:06,102,5.4,0,0,0,2,403:45,292,59,46,3233,17:36,14:51,02:42,00:02,Ryan Graves
59:47,0,0,0,8,5,6,0,0,01:39,57:37,0,35.7,0.0,0,0,0,0,00:31,0,0,0,83,11:57,11:31,00:06,00:19,Chase De Leo
